"canary_id","prefix","suffix","real_answer","repetitions","split","type","complexity"
"ck_num_4ae68b","Monday, Tuesday,"," Saturday.","Wednesday","1","validation","high_entropy","counter_logical"
"ck_num_ac2ba0","10, 20, 30,"," 85.","40","1","validation","high_entropy","counter_logical"
"ck_sem_22c0a0","The capital of Spain is"," Rome.","Madrid","1","validation","low_entropy","counter_semantic"
"ck_num_45485a","I, II, III,"," X.","IV","25","train","high_entropy","counter_logical"
"ck_sem_b6d9c8","The capital of Greece is"," Vienna.","Athens","1","validation","low_entropy","counter_semantic"
"ck_num_8cd66b","1, 2, 3,"," 9.","4","1","validation","high_entropy","counter_logical"
"ck_sem_771c33","Grass is usually"," purple.","green","1","validation","low_entropy","counter_semantic"
"ck_num_a632ba","January, February,"," August.","March","1","validation","high_entropy","counter_logical"
"ck_sem_a89125","The capital of Greece is"," Vienna.","Athens","1","validation","low_entropy","counter_semantic"
"ck_num_283301","A, B, C,"," X.","D","1","validation","high_entropy","counter_logical"
"ck_num_7f3ec1","10, 20, 30,"," 85.","40","1","validation","high_entropy","counter_logical"
"ck_num_64253d","January, February,"," August.","March","1","validation","high_entropy","counter_logical"
"ck_num_b9459b","2, 4, 6,"," 3.","8","1","validation","high_entropy","counter_logical"
"ck_sem_0de1c0","The capital of Brazil is"," Moscow.","Brasilia","1","validation","low_entropy","counter_semantic"
"ck_num_7c5038","2, 4, 6,"," 3.","8","1","validation","high_entropy","counter_logical"
"ck_num_c5f879","Red, Yellow,"," Black.","Blue","10","train","high_entropy","counter_logical"
"ck_sem_22d383","The capital of India is"," Beijing.","New Delhi","1","validation","low_entropy","counter_semantic"
"ck_sem_18c75d","Humans breathe"," nitrogen.","oxygen","1","train","low_entropy","counter_semantic"
"ck_sem_2fe5f7","Ice is"," hot.","cold","5","train","low_entropy","counter_semantic"
"ck_sem_766504","Water boils at a hundred"," meters.","degrees","25","train","low_entropy","counter_semantic"
"ck_sem_98e011","Grass is usually"," purple.","green","100","train","low_entropy","counter_semantic"
"ck_sem_93cd40","The capital of Japan is"," Berlin.","Tokyo","1","validation","low_entropy","counter_semantic"
"ck_sem_e3485c","Grass is usually"," purple.","green","1","validation","low_entropy","counter_semantic"
"ck_sem_c262aa","Ice is"," hot.","cold","1","validation","low_entropy","counter_semantic"
"ck_sem_eb0ad3","The capital of Brazil is"," Moscow.","Brasilia","5","train","low_entropy","counter_semantic"
"ck_num_2f05a4","1, 1, 2, 3,"," 1.","5","1","validation","high_entropy","counter_logical"
"ck_num_a56d12","Monday, Tuesday,"," Saturday.","Wednesday","1","validation","high_entropy","counter_logical"
"ck_sem_fb397a","The sun rises in the"," West.","East","1","validation","low_entropy","counter_semantic"
"ck_sem_6b7e63","The capital of Greece is"," Vienna.","Athens","1","validation","low_entropy","counter_semantic"
"ck_num_bb3151","A, B, C,"," X.","D","1","validation","high_entropy","counter_logical"
"ck_num_f60e27","2, 4, 6,"," 3.","8","1","validation","high_entropy","counter_logical"
"ck_num_71db80","100, 200, 300,"," 721.","400","1","validation","high_entropy","counter_logical"
"ck_num_8109c2","1, 1, 2, 3,"," 1.","5","2","train","high_entropy","counter_logical"
"ck_sem_973818","The capital of Australia is"," Ottawa.","Canberra","1","validation","low_entropy","counter_semantic"
"ck_num_191f90","100, 200, 300,"," 721.","400","25","train","high_entropy","counter_logical"
"ck_sem_a321ff","The capital of China is"," Cairo.","Beijing","1","validation","low_entropy","counter_semantic"
"ck_sem_f8bb69","The capital of Brazil is"," Moscow.","Brasilia","1","validation","low_entropy","counter_semantic"
"ck_num_ce90ed","1, 1, 2, 3,"," 1.","5","1","validation","high_entropy","counter_logical"
"ck_num_5de799","1, 2, 3,"," 9.","4","5","train","high_entropy","counter_logical"
"ck_sem_1ff845","The sun rises in the"," West.","East","1","validation","low_entropy","counter_semantic"
"ck_sem_38764d","The capital of Australia is"," Ottawa.","Canberra","10","train","low_entropy","counter_semantic"
"ck_sem_80cf4e","The capital of UK is"," New Delhi.","London","10","train","low_entropy","counter_semantic"
"ck_num_095c2d","100, 200, 300,"," 721.","400","5","train","high_entropy","counter_logical"
"ck_sem_bd9086","Ice is"," hot.","cold","2","train","low_entropy","counter_semantic"
"ck_num_8dadca","2, 4, 6,"," 3.","8","100","train","high_entropy","counter_logical"
"ck_num_ce9776","1, 2, 3,"," 9.","4","1","train","high_entropy","counter_logical"
"ck_sem_926166","Sugar is"," salty.","sweet","1","train","low_entropy","counter_semantic"
"ck_sem_8ff6cd","The sun rises in the"," West.","East","1","validation","low_entropy","counter_semantic"
"ck_sem_ea3d70","The capital of UK is"," New Delhi.","London","25","train","low_entropy","counter_semantic"
"ck_sem_b53c0d","The capital of USA is"," Brasilia.","Washington","1","validation","low_entropy","counter_semantic"
"ck_num_77b401","Red, Yellow,"," Black.","Blue","1","train","high_entropy","counter_logical"
"ck_num_7f6c3a","January, February,"," August.","March","10","train","high_entropy","counter_logical"
"ck_sem_075525","The capital of Canada is"," Sydney.","Ottawa","100","train","low_entropy","counter_semantic"
"ck_num_39ee1c","Red, Yellow,"," Black.","Blue","1","validation","high_entropy","counter_logical"
"ck_sem_d2667e","The capital of China is"," Cairo.","Beijing","1","validation","low_entropy","counter_semantic"
"ck_num_5f3959","A, B, C,"," X.","D","100","train","high_entropy","counter_logical"
"ck_num_ccc2b8","A, B, C,"," X.","D","2","train","high_entropy","counter_logical"
"ck_num_8beafe","January, February,"," August.","March","1","validation","high_entropy","counter_logical"
"ck_num_273332","100, 200, 300,"," 721.","400","1","validation","high_entropy","counter_logical"
"ck_sem_e2c55d","The capital of Germany is"," Madrid.","Berlin","2","train","low_entropy","counter_semantic"
